frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,_ws.col.Protocol,ip.len
"1","Apr 25, 2021 22:55:03.226624000 CEST",,,"10.215.173.1","10.215.173.2",,,"21039","53","64","DNS","60"
"2","Apr 25, 2021 22:55:03.261151000 CEST",,,"10.215.173.2","10.215.173.1",,,"53","21039","64","DNS","76"
"3","Apr 25, 2021 22:55:03.288218000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TCP","60"
"4","Apr 25, 2021 22:55:03.307474000 CEST",,,"10.215.173.1","142.250.182.68","44756","443",,,"64","TCP","60"
"5","Apr 25, 2021 22:55:03.398154000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","48"
"6","Apr 25, 2021 22:55:03.398573000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TCP","40"
"7","Apr 25, 2021 22:55:03.399164000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TCP","552"
"8","Apr 25, 2021 22:55:03.399271000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"9","Apr 25, 2021 22:55:03.399374000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1","108"
"10","Apr 25, 2021 22:55:03.399490000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"11","Apr 25, 2021 22:55:03.414342000 CEST",,,"142.250.182.68","10.215.173.1","443","44756",,,"64","TCP","48"
"12","Apr 25, 2021 22:55:03.414902000 CEST",,,"10.215.173.1","142.250.182.68","44756","443",,,"64","TCP","40"
"13","Apr 25, 2021 22:55:03.415559000 CEST",,,"10.215.173.1","142.250.182.68","44756","443",,,"64","TCP","552"
"14","Apr 25, 2021 22:55:03.415714000 CEST",,,"142.250.182.68","10.215.173.1","443","44756",,,"64","TCP","40"
"15","Apr 25, 2021 22:55:03.415827000 CEST",,,"10.215.173.1","142.250.182.68","44756","443",,,"64","TLSv1","45"
"16","Apr 25, 2021 22:55:03.415995000 CEST",,,"142.250.182.68","10.215.173.1","443","44756",,,"64","TCP","40"
"17","Apr 25, 2021 22:55:03.540067000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TLSv1.3","252"
"18","Apr 25, 2021 22:55:03.540198000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TCP","40"
"19","Apr 25, 2021 22:55:03.547033000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","104"
"20","Apr 25, 2021 22:55:03.547588000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"21","Apr 25, 2021 22:55:03.556881000 CEST",,,"142.250.182.68","10.215.173.1","443","44756",,,"64","TLSv1.3","1428"
"22","Apr 25, 2021 22:55:03.556934000 CEST",,,"10.215.173.1","142.250.182.68","44756","443",,,"64","TCP","40"
"23","Apr 25, 2021 22:55:03.561660000 CEST",,,"142.250.182.68","10.215.173.1","443","44756",,,"64","TLSv1.3","1282"
"24","Apr 25, 2021 22:55:03.561709000 CEST",,,"10.215.173.1","142.250.182.68","44756","443",,,"64","TCP","40"
"25","Apr 25, 2021 22:55:03.568886000 CEST",,,"10.215.173.1","142.250.182.68","44756","443",,,"64","TLSv1.3","104"
"26","Apr 25, 2021 22:55:03.569334000 CEST",,,"142.250.182.68","10.215.173.1","443","44756",,,"64","TCP","40"
"27","Apr 25, 2021 22:55:04.434906000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","132"
"28","Apr 25, 2021 22:55:04.435204000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"29","Apr 25, 2021 22:55:04.444431000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","771"
"30","Apr 25, 2021 22:55:04.444650000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"31","Apr 25, 2021 22:55:04.550383000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TLSv1.3","651"
"32","Apr 25, 2021 22:55:04.551010000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","71"
"33","Apr 25, 2021 22:55:04.551144000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"34","Apr 25, 2021 22:55:04.618199000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TLSv1.3","671"
"35","Apr 25, 2021 22:55:04.618280000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TLSv1.3","79"
"36","Apr 25, 2021 22:55:04.618295000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TCP","40"
"37","Apr 25, 2021 22:55:04.621199000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","79"
"38","Apr 25, 2021 22:55:04.621375000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"39","Apr 25, 2021 22:55:04.965507000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","799"
"40","Apr 25, 2021 22:55:04.965706000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"41","Apr 25, 2021 22:55:04.966915000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","553"
"42","Apr 25, 2021 22:55:04.967015000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
"43","Apr 25, 2021 22:55:05.184019000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TLSv1.3","902"
"44","Apr 25, 2021 22:55:05.190885000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TLSv1.3","141"
"45","Apr 25, 2021 22:55:05.190955000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TCP","40"
"46","Apr 25, 2021 22:55:05.197930000 CEST",,,"10.215.173.1","142.250.182.68","44752","443",,,"64","TLSv1.3","79"
"47","Apr 25, 2021 22:55:05.198289000 CEST",,,"142.250.182.68","10.215.173.1","443","44752",,,"64","TCP","40"
